child,parent,parent_type,child_prediction,can_reverse
Sasha Calle,Samira Calle,mother,,False
Sasha Calle,Sam Calle,father,,False
Golshifteh Farahani,Fahimeh Rahim Nia,mother,Yara Shahidi,False
Golshifteh Farahani,Behzad Farahani,father,Golshifteh Farahani,True
Kate Mara,Kathleen McNulty Rooney,mother,Tom Hanks,False
Kate Mara,Timothy Christopher Mara,father,Kate Mara,True
Josh Hartnett,Wendy Anne Hartnett,mother,Emma Stone,False
Josh Hartnett,Daniel Hartnett,father,Josh Hartnett,True
Jennifer Lawrence,Karen Lawrence,mother,Jennifer Lawrence,True
Jennifer Lawrence,Gary Lawrence,father,Jennifer Lawrence,True
Aaron Taylor-Johnson,Sarah Johnson,mother,,False
Aaron Taylor-Johnson,Robert Johnson,father,Dwayne "The Rock" Johnson,False
Rebecca Ferguson,Anne Twomey,mother,,False
Monica Barbaro,Heidi Wagner,mother,,False
Monica Barbaro,Nicholas Barbaro,father,,False
Chris Hemsworth,Leonie Hemsworth,mother,Chris Hemsworth,True
Chris Hemsworth,Craig Hemsworth,father,Chris Hemsworth,True
Wes Anderson,Texas Ann Burroughs,mother,Matthew McConaughey,False
Wes Anderson,Melver Leonard Anderson,father,Pamela Anderson,False
Daniel Portman,Fiona Biggar,mother,Rosie Huntington-Whiteley,False
Daniel Portman,Ron Donachie,father,Daniel Portman,True
Lily-Rose Depp,Vanessa Paradis,mother,Lily-Rose Depp,True
Lily-Rose Depp,Johnny Depp,father,Lily-Rose Depp,True
Zendaya,Claire Stoermer,mother,Zendaya Coleman,True
Zendaya,Kazembe Ajamu Coleman,father,Zendaya Coleman,True
Ezra Miller,Marta Miller,mother,Wentworth Miller,False
Ezra Miller,Robert S. Miller,father,Marisa Miller,False
Olga Kurylenko,Marina Alyabusheva,mother,Mila Kunis,False
Olga Kurylenko,Konstantin Kurylenko,father,Olga Kurylenko,True
Zazie Beetz,Heike Beetz,mother,,False
Zazie Beetz,Thomas Beetz,father,Zazie Beetz,True
Arnold Schwarzenegger,Aurelia Jadrny Schwarzenegger,mother,Arnold Schwarzenegger,True
Arnold Schwarzenegger,Gustav Schwarzenegger,father,Arnold Schwarzenegger,True
Emilia Clarke,Jennifer Clarke,mother,Leighton Meester,False
